//source,x,y,destination,x,y

//Region 0

//New Warp spell with formatting and titles
// Yi Bok Yen Village Map 1 Start
173, 34, 0, 579, 9, 34
173, 35, 0, 579, 10, 34
173, 36, 0, 579, 11, 34
173, 37, 0, 579, 12, 34
173, 38, 0, 579, 13, 34
// Frozen Foothills Map 2 Start
579, 9, 35, 173, 34, 1
579, 10, 35, 173, 35, 1
579, 11, 35, 173, 36, 1
579, 12, 35, 173, 37, 1
579, 13, 35, 173, 38, 1
// Frozen Foothills Map 1 Start
579, 19, 0, 580, 20, 74
579, 20, 0, 580, 21, 74
579, 21, 0, 580, 22, 74
// Frozen Foothills Map 2 Start
580, 20, 75, 579, 19, 1
580, 21, 75, 579, 20, 1
580, 22, 75, 579, 21, 1
// Frozen Foothills Map 1 Start
580, 18, 3, 581, 11, 32
580, 19, 3, 581, 12, 32
// Frozen Palace Map 2 Start
581, 11, 33, 580, 18, 4
581, 12, 33, 580, 19, 4
// Frozen Palace Map 1 Start
581, 23, 18, 582, 1, 10
581, 23, 19, 582, 1, 11
581, 23, 20, 582, 1, 12
// Frozen Palace Map 2 Start
582, 0, 10, 581, 22, 18
582, 0, 11, 581, 22, 19
582, 0, 12, 581, 22, 20
// Frozen Palace Map 1 Start
582, 18, 27, 583, 8, 1
582, 19, 27, 583, 9, 1
582, 20, 27, 583, 10, 1
582, 21, 27, 583, 11, 1
// Frozen Palace Map 2 Start
583, 8, 0, 582, 18, 26
583, 9, 0, 582, 19, 26
583, 10, 0, 582, 20, 26
583, 11, 0, 582, 21, 26
// Frozen Palace Map 1 Start
583, 8, 44, 584, 18, 3
583, 9, 44, 584, 19, 3
583, 10, 44, 584, 20, 3
583, 11, 44, 584, 21, 3
// Frozen Palace Map 2 Start
584, 18, 2, 583, 8, 43
584, 19, 2, 583, 9, 43
584, 20, 2, 583, 10, 43
584, 21, 2, 583, 11, 43
// Frozen Palace Map 1 Start
581, 0, 18, 585, 38, 9
581, 0, 19, 585, 38, 10
581, 0, 20, 585, 38, 11
// Frozen Palace Map 2 Start
585, 39, 9, 581, 1, 18
585, 39, 10, 581, 1, 19
585, 39, 11, 581, 1, 20
// Frozen Palace Map 1 Start
585, 10, 4, 586, 8, 23
585, 11, 4, 586, 9, 23
585, 12, 4, 586, 10, 23
585, 13, 4, 586, 11, 23
585, 14, 4, 586, 12, 23
// Frozen Palace Map 2 Start
586, 8, 24, 585, 10, 5
586, 9, 24, 585, 11, 5
586, 10, 24, 585, 12, 5
586, 11, 24, 585, 13, 5
586, 12, 24, 585, 14, 5
// Frozen Palace Map 1 Start
586, 8, 0, 587, 12, 38
586, 9, 0, 587, 13, 38
586, 10, 0, 587, 14, 38
586, 11, 0, 587, 15, 38
586, 12, 0, 587, 16, 38
// Frozen Palace Map 2 Start
587, 12, 39, 586, 8, 1
587, 13, 39, 586, 9, 1
587, 14, 39, 586, 10, 1
587, 15, 39, 586, 11, 1
587, 16, 39, 586, 12, 1

//Yi Bok inn
// Yi Bok Yen Village Map 1 Start
173, 29, 13, 588, 3, 16
173, 30, 13, 588, 4, 16
173, 31, 13, 588, 5, 16
// Yi Bok Yen Inn Map 2 Start
588, 3, 17, 173, 29, 14
588, 4, 17, 173, 30, 14
588, 5, 17, 173, 31, 14
// Yi Bok Yen Inn Map 1 Start
588, 33, 17, 173, 41, 14
588, 34, 17, 173, 42, 14
588, 35, 17, 173, 43, 14
// Yi Bok Yen Village Map 2 Start
173, 41, 13, 588, 33, 16
173, 42, 13, 588, 34, 16
173, 43, 13, 588, 35, 16
// Yi Bok Yen Inn Map 1 Start
588, 21, 0, 173, 29, 9
588, 22, 0, 173, 30, 9
588, 23, 0, 173, 31, 9
// Yi Bok Yen Village Map 2 Start
173, 29, 10, 588, 21, 1
173, 30, 10, 588, 22, 1
173, 31, 10, 588, 23, 1
// The Sky Palace Map 1 Start
254, 7, 4, 255, 26, 29
254, 8, 4, 255, 27, 29
// The Sky Palace Map 2 Start
255, 26, 30, 254, 7, 5
255, 27, 30, 254, 8, 5
// The Sky Palace Map 1 Start
255, 26, 3, 256, 14, 27
255, 27, 3, 256, 15, 27
// The Sky Palace Map 2 Start
256, 14, 28, 255, 26, 4
256, 15, 28, 255, 27, 4
//Sky Palace Maps
// The Sky Palace Map 1 Start
252, 4, 3, 253, 4, 32
252, 5, 3, 253, 5, 32
// The Sky Palace Map 2 Start
253, 4, 33, 252, 4, 4
253, 5, 33, 252, 5, 4
// The Sky Palace Map 1 Start
253, 5, 3, 254, 26, 13
253, 6, 3, 254, 27, 13
// The Sky Palace Map 2 Start
254, 26, 14, 253, 5, 4
254, 27, 14, 253, 6, 4

//Right wing Sky palace
// The Sky Palace Map 1 Start
252, 24, 3, 257, 3, 17
252, 25, 3, 257, 4, 17
// The Sky Palace Map 2 Start
257, 3, 18, 252, 24, 4
257, 4, 18, 252, 25, 4
// The Sky Palace Map 1 Start
257, 35, 3, 258, 19, 32
257, 36, 3, 258, 20, 32
// The Sky Palace Map 2 Start
258, 19, 33, 257, 35, 4
258, 20, 33, 257, 36, 4
// The Sky Palace Map 1 Start
258, 5, 3, 259, 8, 22
258, 6, 3, 259, 9, 22
// The Sky Palace Map 2 Start
259, 8, 23, 258, 5, 4
259, 9, 23, 258, 6, 4
// The Sky Palace Map 1 Start
259, 3, 3, 260, 12, 31
259, 4, 3, 260, 13, 31
259, 12, 3, 260, 20, 31
259, 13, 3, 260, 21, 31
// The Sky Palace Map 2 Start
260, 12, 32, 259, 3, 4
260, 13, 32, 259, 4, 4
260, 20, 32, 259, 12, 4
260, 21, 32, 259, 13, 4
//Quest room
// The Sky Palace Map 1 Start
261, 12, 3, 255, 8, 32
261, 13, 3, 255, 9, 32
// The Sky Palace Map 2 Start
255, 8, 33, 261, 12, 4
255, 9, 33, 261, 13, 4


//New Warp Test Spell (PALACE)
30, 34, 9, 177, 9, 22
30, 35, 9, 177, 10, 22
177, 9, 23, 30, 34, 10
177, 10, 23, 30, 35, 10

//North Pinyan to rivers
10, 49, 0, 164, 15, 36
10, 50, 0, 164, 16, 36
10, 51, 0, 164, 17, 36
10, 52, 0, 164, 18, 36
10, 53, 0, 164, 19, 36
164, 15, 37, 10, 49, 1
164, 16, 37, 10, 50, 1
164, 17, 37, 10, 51, 1
164, 18, 37, 10, 52, 1
164, 19, 37, 10, 53, 1

//Rivers to silkforest
164, 39, 5, 163, 1, 74
164, 39, 6, 163, 1, 75
164, 39, 7, 163, 1, 76
163, 0, 74, 164, 38, 5
163, 0, 75, 164, 38, 6
163, 0, 76, 164, 38, 7

//Two rivers to mountainpass
165, 4, 16, 164, 18, 1
165, 5, 16, 164, 19, 1
165, 6, 16, 164, 20, 1
165, 7, 16, 164, 21, 1
165, 8, 16, 164, 22, 1
165, 9, 16, 164, 23, 1
164, 18, 0, 165, 4, 15
164, 19, 0, 165, 5, 15
164, 20, 0, 165, 6, 15
164, 21, 0, 165, 7, 15
164, 22, 0, 165, 8, 15
164, 23, 0, 165, 9, 15

//Mountain Pass 1-2
165, 4, 0, 166, 8, 48
165, 5, 0, 166, 9, 48
165, 6, 0, 166, 10, 48
165, 7, 0, 166, 11, 48
166, 8, 49, 165, 4, 1
166, 9, 49, 165, 5, 1
166, 10, 49, 165, 6, 1
